country_name,countryiso3code,date,gdp_growth,inflation,external_debt,reserves,gdp_per_capita,gdp_growthz,inflationz,external_debtz,reservesz,gdp_per_capitaz,risk_score,risk_category
Benin,BEN,2019,6.86568662848335,0.732849371241066,48.4523108206094,,1130.82135339795,0.7522283308831792,-0.5250497462275068,0.12897249827477547,,-0.2921940256010747,-0.8561115532348358,Low Risk
Burkina Faso,BFA,2019,5.88920497068135,-3.23338933983322,59.7717694385558,,764.853077774946,0.3446230700407735,-1.014394141276365,0.6108920811552161,,-0.6279635870294737,-0.12016154313244876,Medium Risk
Cote d'Ivoire,CIV,2019,6.72137167584978,0.790855512053661,33.7779620972679,,2141.76836170115,0.6919880453215703,-0.5178930968292234,-0.49577964354434007,,0.6353323645688517,-2.3409931502639854,Low Risk
Cabo Verde,CPV,2019,6.94782634051859,1.10666674296063,97.4432945234761,737990665.417386,4380.78117331128,0.7865152818792757,-0.4789291143270336,2.2147360694720795,-0.44487395783198597,2.689587883048126,-1.740296209782356,Low Risk
Ghana,GHA,2019,6.5077747939152,7.14364003330857,49.8694571261813,7563210340.92838,2186.65822682613,0.602827934549963,0.2658972206192234,0.189306705016694,0.027651121236748795,0.6765180392012654,-0.824142048115311,Medium Risk
Guinea,GIN,2019,5.61691446889876,9.47001039253012,26.5580694165283,1379136556.90392,1031.34146480732,0.2309629309923587,0.5529188496790943,-0.8031625128652419,-0.4004860073376912,-0.3834651023253059,-0.09774149185320036,Medium Risk
"Gambia, The",GMB,2019,6.22205315994859,7.11567625631192,47.7568814883079,256957421.665427,738.186751987483,0.483561340845145,0.2624471212846827,0.09936498566686555,-0.47817695500204654,-0.6524294795971312,0.5306802457035344,High Risk
Guinea-Bissau,GNB,2019,5.32749571119344,0.24660026814783,55.8395058178772,,811.210004050041,0.11015307523664272,-0.5850419177858749,0.4434781696056935,,-0.5854319091728074,0.33371508575598324,High Risk
Liberia,LBR,2019,-2.46729763532686,26.9662760197878,42.699944211321,297070852.933414,658.164180770507,-3.1435678214494587,2.711563384885483,-0.11593127411311059,-0.47539981328606146,-0.7258488042535002,6.465048736475332,High Risk
Mali,MLI,2019,4.99999911699705,-1.65826694846365,25.264051034063,,971.949318638092,-0.026551320218050414,-0.8200595664106272,-0.8582546175466967,,-0.4379563689182498,-1.2138064948210239,Low Risk
Niger,NER,2019,6.07881528959186,-2.48979265070855,26.5897762591554,,541.265819870273,0.42377065349041737,-0.9226510822960629,-0.8018126118771256,,-0.833101027972487,-1.3151333196911188,Low Risk
Nigeria,NGA,2019,2.20842927835211,11.3964223378115,17.479665389895,39382191478.7729,3189.81286496183,-1.1918149410441827,0.7905946318619774,-1.1896704572291892,2.2305496787723196,1.5968950645548698,-0.8041559488778989,Medium Risk
Senegal,SEN,2019,4.6136280976221,1.76011151192939,91.3064501670604,,1431.18128932159,-0.1878312161341354,-0.3983087688405036,1.953463373288789,,-0.016618980785896943,1.7596048013683177,High Risk
Sierra Leone,SLE,2019,5.50270937378153,14.8049990906021,29.9000056256083,530137881.482077,843.71251730417,0.1832911726824555,1.2111361197998367,-0.6608814587749481,-0.45926406655128305,-0.5556114155737889,0.922574903916222,High Risk
Togo,TGO,2019,4.91949260488683,0.674652770077525,28.6354005954264,,917.718016777619,-0.06015653707595092,-0.5322298941371012,-0.7147213065294632,,-0.4877126501434018,-0.6990820134472117,Medium Risk
Benin,BEN,2018,6.69725362180888,0.919170717886054,48.5044887424269,,1151.7409703472,0.9217457133061973,-0.6808427228009976,0.16358021675114404,,-0.22378271269271346,-1.2152255066633373,Low Risk
Burkina Faso,BFA,2018,6.60456906812341,1.95594302672532,69.0514156278439,,777.465618514048,0.8730406761056891,-0.5330220711426853,0.9903477324675327,,-0.6072110032282643,0.19149598844742255,Medium Risk
Cote d'Ivoire,CIV,2018,4.84314605889178,0.401297817263547,28.4634771423081,,2130.86619381144,-0.05257389265612338,-0.7546798700642231,-0.6428302730254774,,0.7792871096035007,-2.1242233600370777,Low Risk
Cabo Verde,CPV,2018,3.70696458310842,1.25699566690509,96.8787144558663,606003781.270023,4294.96510035729,-0.6496287291324189,-0.6326764053900529,2.1100629506820128,-0.43185092695776506,2.996309257128288,-0.8692939827039092,Medium Risk
Ghana,GHA,2018,6.20007768127284,7.80876516610703,54.6463726994366,6294851564.02725,2195.32166016377,0.6604834887376871,0.30146007629450183,0.41071742463011174,-0.07833242082522374,0.8453188404083731,-0.7936248282214466,Medium Risk
Guinea,GIN,2018,6.35849192736715,9.82761701259191,22.1895160888823,1242328572.91057,933.273615633705,0.7437289858816557,0.589303407954364,-0.8952820008565493,-0.39230819381632065,-0.44759270697991776,-0.6021148718039233,Medium Risk
"Gambia, The",GMB,2018,7.23489033258579,6.52096823946573,47.3953247273082,191773260.9803,696.219806960615,1.2042697689067723,0.11784890219513537,0.118949660443838,-0.45759219484177827,-0.6904436886950687,-0.27702751757273014,Medium Risk
Guinea-Bissau,GNB,2018,3.76145359637003,0.381324702790992,54.7790196614889,,808.531613218504,-0.6209951616996855,-0.7575275915666276,0.41605487484322107,,-0.5753852867204186,0.8549077316966975,High Risk
Liberia,LBR,2018,1.15757512207355,23.5635148953742,38.7612158305833,332150947.81251,692.203127129794,-1.989313753237489,2.5477366712984915,-0.22846972751516773,-0.4488687921355782,-0.694558596806482,5.003139293827295,High Risk
Mali,MLI,2018,4.86784999935264,0.299546507387843,23.1419238102101,,996.379292136901,-0.03959215739062847,-0.7691873417671978,-0.8569590063716584,,-0.3829437752610681,-1.2036104154871599,Low Risk
Niger,NER,2018,6.89458420864513,2.96760366004456,23.6932555242712,,576.927536415462,1.0254414553742128,-0.3887817854026702,-0.8347745135707679,,-0.8126532628634014,-1.4363444914842498,Low Risk
Nigeria,NGA,2018,1.92275734199798,12.0951065173432,16.9165675219792,43719362674.791,2057.87944554011,-1.5872162407106614,0.9125969347615924,-1.107454975018096,2.2473155426725016,0.7045154635831125,0.6878427368710452,High Risk
Senegal,SEN,2018,6.20924103388887,0.460985642464188,88.9673360108035,,1452.55612562445,0.6652987617502718,-0.7461697149009316,1.791724800193967,,0.08438890531583795,0.2958674182269254,High Risk
Sierra Leone,SLE,2018,2.8938564123677,16.0295447693699,28.9998131303477,501210759.592547,845.914540460932,-1.0769109690443346,1.4735602449941994,-0.6212491784465352,-0.43836301409583595,-0.5370881564991135,2.4663101920911124,High Risk
Togo,TGO,2018,4.79518333086139,0.927755426457183,24.1991584437359,,942.480774393154,-0.07777794619114348,-0.6796187344629007,-0.8144179852075724,,-0.4381603862926643,-0.9780983871866652,Low Risk
Benin,BEN,2017,5.67156195150444,0.0432648555103608,38.8078591798797,,1054.97408066814,0.1276216481804651,-0.8830669388554665,-0.24775464706150307,,-0.2349317518147307,-1.023511482282704,Low Risk
Burkina Faso,BFA,2017,6.20348941121868,1.48299897161326,94.0623582632253,,709.091535894695,0.35244394027207215,-0.659743473563425,1.777965621594369,,-0.6276115933961431,1.3933898011550152,High Risk
Cote d'Ivoire,CIV,2017,7.41076242592504,0.685881065304603,26.3779718245256,,1964.29930338343,0.8627050320616194,-0.7833879236685882,-0.7034546383847353,,0.7974235659007323,-3.1469711600156756,Low Risk
Cabo Verde,CPV,2017,4.5513148102974,0.784415251101334,109.265288203302,617362329.826463,3893.09571382506,-0.34585744261612295,-0.7681038544951637,2.335329887554227,-0.44257948548785736,2.9871827206771524,-1.074099245001966,Low Risk
Ghana,GHA,2017,8.12889488100956,12.3719215507048,58.7440328132317,7015187159.64987,2012.28662641265,1.166227968561663,1.029285005001624,0.48313807078953075,-0.012586079232230199,0.8519034888970571,-0.5057083816675654,Medium Risk
Guinea,GIN,2017,10.3000053427355,8.91435947913097,23.2615121059829,980319295.402435,833.598621691121,2.0838606672975324,0.49296740673821643,-0.8177091465792429,-0.41818539748083594,-0.4862589190126235,-1.9223434881259354,Low Risk
"Gambia, The",GMB,2017,4.8226112492757,8.03418974545911,51.1045782522749,169969976.48625,642.522641296331,-0.2311923954682302,0.3564404238944448,0.20306317729963186,-0.47264841783009987,-0.7031871417437977,1.4938831384061046,High Risk
